case_id,emotion,modification_type,diagnosis_correct,total_tokens,total_time,total_calls,tokens_per_second,doctor_tokens,patient_tokens,doctor_time,patient_time
case_1,calm,original,True,35032,348.8979182243347,22,100.40759250811892,18075,16957,264.97103548049927,83.92688274383545
case_1,anxious,original,False,20194,290.9056785106659,22,69.41768927779661,10370,9824,216.63351607322693,74.27216243743896
case_1,distrustful,original,True,31757,298.87912106513977,22,106.2536582911011,11319,20438,194.99066948890686,103.88845157623291
case_4,calm,original,False,22237,300.2691738605499,22,74.05688607358422,12639,9598,222.51162552833557,77.75754833221436
case_4,anxious,original,False,47038,356.30289030075073,22,132.01689147201648,12764,34274,204.56460332870483,151.7382869720459
case_4,distrustful,original,False,25797,315.2219018936157,22,81.83758756936322,12436,13361,236.80359601974487,78.41830587387085
case_6,calm,original,True,18636,849.171858549118,20,21.946087605683473,11851,6785,227.2721085548401,621.899749994278
case_6,anxious,original,False,30502,327.831157207489,22,93.04179706352575,18789,11713,240.6147015094757,87.2164556980133
case_6,distrustful,original,False,36959,323.0208306312561,22,114.41676974136224,14732,22227,179.11781287193298,143.90301775932312
case_1,calm,fake_symptoms_added,False,24899,370.121221780777,22,67.2725543274784,12428,12471,248.362206697464,121.75901508331299
case_1,anxious,fake_symptoms_added,False,33686,426.03396821022034,22,79.06881261490898,18745,14941,262.8350942134857,163.19887399673462
case_4,calm,fake_symptoms_added,False,21771,421.9360671043396,22,51.59786445707259,11083,10688,319.8287081718445,102.10735893249512
case_4,anxious,fake_symptoms_added,False,41802,557.7137825489044,22,74.95242417885646,21327,20475,354.7543122768402,202.9594702720642
case_6,calm,fake_symptoms_added,True,26899,475.9023108482361,22,56.5221041941484,13094,13805,347.5787935256958,128.32351732254028
case_6,anxious,fake_symptoms_added,True,28809,441.3891496658325,22,65.26893563607251,15794,13015,338.8031859397888,102.5859637260437
case_1,calm,symptoms_removed,True,30947,374.5040748119354,22,82.63461489849114,17374,13573,247.1644036769867,127.33967113494873
case_1,anxious,symptoms_removed,True,24685,315.56945848464966,22,78.2236662525463,13015,11670,239.63603973388672,75.93341875076294
case_4,calm,symptoms_removed,False,40389,339.7994108200073,22,118.86130085550433,21941,18448,237.85133266448975,101.94807815551758
case_4,anxious,symptoms_removed,False,27337,273.2631838321686,22,100.03908911779972,14350,12987,194.81815838813782,78.44502544403076
case_6,calm,symptoms_removed,False,26042,283.08615016937256,22,91.99319706887418,14716,11326,203.62465596199036,79.4614942073822
case_6,anxious,symptoms_removed,False,24669,407.4612064361572,22,60.543186959481126,15366,9303,315.0103540420532,92.450852394104
